filename,start_idx,end_idx,pedal_col,details,status
2017-07-26_Seat_Leon_S_KA_Normal.csv,9879,9908,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.917, effect_rpm=150.765",success
2017-07-27_Seat_Leon_KA_KA_2_Normal.csv,11666,11695,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=5.383, effect_rpm=305.330",success
2017-07-27_Seat_Leon_KA_KA_Normal.csv,7889,7918,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=3.040, effect_rpm=196.777",success
2017-07-28_Seat_Leon_KA_KA_Normal.csv,4277,4306,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=6.143, effect_rpm=248.267",success
2017-07-28_Seat_Leon_KA_RT_Stau.csv,1599,1628,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=3.230, effect_rpm=202.002",success
2017-07-31_Seat_Leon_KA_KA_Frei.csv,9759,9788,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=2.913, effect_rpm=196.713",success
2017-07-31_Seat_Leon_RT_KA_Normal.csv,20040,20069,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=9.753, effect_rpm=325.787",success
2017-08-01_Seat_Leon_KA_KA_Frei.csv,8459,8488,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=4.497, effect_rpm=211.628",success
2017-08-01_Seat_Leon_KA_RT_Normal.csv,32537,32566,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.093, effect_rpm=220.875",success
2017-08-02_Seat_Leon_RT_S_Normal.csv,20127,20156,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=2.407, effect_rpm=493.208",success
2017-08-03_Seat_Leon_S_RT_Normal.csv,22028,22057,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=5.542, effect_rpm=358.783",success
2017-08-04_Seat_Leon_S_RT_Normal.csv,3828,3857,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=6.967, effect_rpm=336.870",success
2017-08-05_Seat_Leon_S_CW_Normal.csv,15361,15390,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.790, effect_rpm=164.318",success
2017-08-07_Seat_Leon_KA_RT_Frei.csv,7981,8010,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=9.563, effect_rpm=163.685",success
2017-08-07_Seat_Leon_RT_KA_Frei_Vollbremsung.csv,4188,4217,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=6.808, effect_rpm=521.677",success
2017-08-08_Seat_Leon_RT_S_Normal.csv,22788,22817,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.283, effect_rpm=187.847",success
2017-08-08_Seat_Leon_S_RT_Normal.csv,,,Accelerator Pedal Position D [%],,skipped: no valid window meeting constraints
2017-08-09_Seat_Leon_RT_S_Normal.csv,3214,3243,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=5.035, effect_rpm=191.900",success
2017-08-09_Seat_Leon_S_RT_Normal.csv,1798,1827,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=2.850, effect_rpm=729.473",success
2017-08-10_Seat_Leon_RT_S_Normal.csv,2151,2180,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=6.270, effect_rpm=384.845",success
2017-08-10_Seat_Leon_S_RT_Frei.csv,17527,17556,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=4.243, effect_rpm=244.467",success
2018-02-14_Seat_Leon_RT_S_Normal.csv,4848,4877,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=6.492, effect_rpm=322.620",success
2018-02-14_Seat_Leon_S_RT_Normal.csv,6188,6217,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=3.483, effect_rpm=390.323",success
2018-02-16_Seat_Leon_S_RT_Normal.csv,24476,24505,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=3.388, effect_rpm=422.877",success
2018-02-17_Seat_Leon_BB_RT_Normal_Glatteis.csv,32657,32686,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=2.723, effect_rpm=569.842",success
2018-02-17_Seat_Leon_RT_BB_Frei.csv,,,Accelerator Pedal Position D [%],,skipped: no valid window meeting constraints
2018-02-18_Seat_Leon_RT_KA_Stau.csv,52915,52944,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=2.217, effect_rpm=159.157",success
2018-02-20_Seat_Leon_KA_KA_Frei.csv,4930,4959,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=5.067, effect_rpm=305.393",success
2018-02-21_Seat_Leon_BB_RT_Normal.csv,1518,1547,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=4.275, effect_rpm=423.953",success
2018-02-21_Seat_Leon_KA_BB_Normal.csv,14981,15010,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=1.710, effect_rpm=220.305",success
2018-02-21_Seat_Leon_KA_KA_Normal.csv,3711,3740,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=8.107, effect_rpm=153.298",success
2018-02-22_Seat_Leon_RT_S_Normal.csv,2291,2320,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=9.943, effect_rpm=301.213",success
2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung.csv,7486,7515,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=10.608, effect_rpm=431.743",success
2018-02-23_Seat_Leon_RT_S_Normal.csv,30040,30069,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=8.772, effect_rpm=430.920",success
2018-02-23_Seat_Leon_S_RT_Normal.csv,18447,18476,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=3.800, effect_rpm=464.233",success
2018-02-23_Seat_Leon_S_S_Stau.csv,3378,3407,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=2.850, effect_rpm=188.860",success
2018-02-26_Seat_Leon_KA_KA_Frei.csv,6758,6787,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=9.500, effect_rpm=350.613",success
2018-02-26_Seat_Leon_RT_KA_Normal.csv,31528,31557,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.727, effect_rpm=196.745",success
2018-02-26_Seat_Leon_RT_RT_Frei.csv,11070,11099,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=5.035, effect_rpm=323.697",success
2018-02-27_Seat_Leon_KA_KA_Normal.csv,3288,3317,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=3.642, effect_rpm=356.313",success
2018-02-27_Seat_Leon_KA_RT_Normal.csv,43710,43739,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=10.925, effect_rpm=396.087",success
2018-02-28_Seat_Leon_RT_S_Normal.csv,11080,11109,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=6.745, effect_rpm=263.593",success
2018-02-28_Seat_Leon_S_RT_Normal.csv,2998,3027,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.917, effect_rpm=254.727",success
2018-03-01_Seat_Leon_RT_S_Normal.csv,30171,30200,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=6.080, effect_rpm=293.202",success
2018-03-01_Seat_Leon_S_RT_Normal.csv,22187,22216,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=4.940, effect_rpm=210.900",success
2018-03-02_Seat_Leon_RT_S_Normal.csv,4731,4760,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.030, effect_rpm=293.138",success
2018-03-06_Seat_Leon_KA_RT_Normal.csv,43078,43107,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=9.183, effect_rpm=365.117",success
2018-03-07_Seat_Leon_RT_S_Normal.csv,18631,18660,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.030, effect_rpm=208.588",success
2018-03-07_Seat_Leon_S_RT_Normal.csv,4346,4375,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=4.275, effect_rpm=193.103",success
2018-03-08_Seat_Leon_RT_S_Normal.csv,35507,35536,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=4.117, effect_rpm=229.710",success
2018-03-19_Seat_Leon_KA_KA_Frei.csv,1529,1558,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=5.827, effect_rpm=279.300",success
2018-03-19_Seat_Leon_RT_KA_Normal.csv,47161,47190,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=11.970, effect_rpm=488.047",success
2018-03-20_Seat_Leon_KA_KA_Normal.csv,16361,16390,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=4.053, effect_rpm=263.752",success
2018-03-21_Seat_Leon_KA_RT_Normal.csv,15819,15848,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=2.533, effect_rpm=155.515",success
2018-03-22_Seat_Leon_RT_S_Normal.csv,35282,35311,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=9.373, effect_rpm=496.533",success
2018-03-22_Seat_Leon_S_RT_Normal.csv,9508,9537,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=4.275, effect_rpm=227.240",success
2018-03-23_Seat_Leon_RT_S_Normal.csv,14000,14029,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.505, effect_rpm=306.723",success
2018-03-23_Seat_Leon_S_RT_Stau.csv,1698,1727,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=5.858, effect_rpm=492.987",success
2018-03-26_Seat_Leon_RT_S_Normal.csv,32145,32174,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=2.787, effect_rpm=342.000",success
2018-03-26_Seat_Leon_S_RT_Stau.csv,3979,4008,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=3.863, effect_rpm=255.233",success
2018-03-29_Seat_Leon_KA_RT_Stau.csv,30062,30091,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.600, effect_rpm=206.372",success
2018-04-23_Seat_Leon_KA_KA_Frei.csv,6926,6955,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=6.270, effect_rpm=361.317",success
2018-04-23_Seat_Leon_RT_KA_Normal.csv,11551,11580,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.727, effect_rpm=195.858",success
